id,novelty_1,novelty_2,response,response_nofill,item,item_nofill,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,SemDis_factor
1472,1,2,to kick,kick,Shoe,shoe,0.79396,0.92154,0.87954,0.96328,0.8607,0.8838,-0.09292
1614,1,1,wearing it,wearing,Shoe,shoe,0.69482,0.83347,0.81455,0.73725,0.64667,0.74535,-0.25356
1614,5,4,turning it into a mouse home,turning mouse home,Shoe,shoe,0.93876,1.03508,0.98834,1.09688,0.89059,0.98993,0.03139
1320,1,1,put on my feet,put feet,Shoe,shoe,1.11525,1.00085,0.92602,1.12212,1.05793,1.04443,0.1114
1320,4,4,gloves,gloves,Shoe,shoe,0.6313,0.71523,0.66599,0.75956,0.63406,0.68123,-0.33659
1320,3,4,storage,storage,Shoe,shoe,0.86598,0.9121,0.93363,1.04019,0.84348,0.91908,-0.05529
1320,4,5,a hat,hat,Shoe,shoe,0.64984,0.82571,0.73208,0.73441,0.68177,0.72476,-0.27816
1320,4,4,house for a small animal,house small animal,Shoe,shoe,0.9015,1.01492,0.91549,0.88767,0.90973,0.92586,-0.02684
1320,5,2,a cup,cup,Shoe,shoe,0.7934,0.90615,0.94879,0.92093,0.95146,0.90415,-0.06123
1320,5,5,spoon,spoon,Shoe,shoe,0.77898,0.92919,0.85235,0.87471,0.92461,0.87197,-0.09648
1320,5,4,shovel,shovel,Shoe,shoe,0.71156,0.77546,0.79129,0.89303,0.79457,0.79318,-0.20343
1463,2,2,foot protection,foot protection,Shoe,shoe,0.97783,0.89697,0.98016,1.06445,1.07594,0.99907,0.05433
1463,3,2,stomp dirt,stomp dirt,Shoe,shoe,1.00411,0.97555,0.94594,1.06065,0.94771,0.98679,0.03665
1463,4,4,dig,dig,Shoe,shoe,0.85743,0.96459,0.90557,0.91398,0.92626,0.91357,-0.04607
